# Binning scheme file
# X_pix  Y_pix  binid
 -2.0000  -4.0000      17
 -2.0000  -3.0000       9
 -2.0000  -2.0000       4
 -2.0000  -1.0000       2
 -2.0000   0.0000       3
 -2.0000   1.0000      25
 -2.0000   2.0000     123
 -2.0000   3.0000     198
 -2.0000   4.0000     229
 -2.0000   5.0000     269
 -2.0000   6.0000     295
 -2.0000   7.0000     321
 -2.0000   8.0000     351
 -2.0000   9.0000     404
 -2.0000  10.0000     442
 -2.0000  11.0000     502
 -2.0000  12.0000     540
 -1.0000 -17.0000     635
 -1.0000 -16.0000     635
 -1.0000 -15.0000     476
 -1.0000 -14.0000     476
 -1.0000 -13.0000     389
 -1.0000 -12.0000     359
 -1.0000 -11.0000     291
 -1.0000 -10.0000     248
 -1.0000  -9.0000     233
 -1.0000  -8.0000     217
 -1.0000  -7.0000     180
 -1.0000  -6.0000     129
 -1.0000  -5.0000      77
 -1.0000  -4.0000      35
 -1.0000  -3.0000      15
 -1.0000  -2.0000       5
 -1.0000  -1.0000       1
 -1.0000   0.0000       0
 -1.0000   1.0000     153
 -1.0000   2.0000     200
 -1.0000   3.0000     228
 -1.0000   4.0000     262
 -1.0000   5.0000     284
 -1.0000   6.0000     308
 -1.0000   7.0000     334
 -1.0000   8.0000     375
 -1.0000   9.0000     409
 -1.0000  10.0000     448
 -1.0000  11.0000     507
 -1.0000  12.0000     544
 -1.0000  13.0000     591
  0.0000 -16.0000     635
  0.0000 -15.0000     494
  0.0000 -14.0000     494
  0.0000 -13.0000     428
  0.0000 -12.0000     369
  0.0000 -11.0000     343
  0.0000 -10.0000     285
  0.0000  -9.0000     249
  0.0000  -8.0000     238
  0.0000  -7.0000     224
  0.0000  -6.0000     186
  0.0000  -5.0000     182
  0.0000  -4.0000     151
  0.0000  -3.0000     147
  0.0000  -2.0000     150
  0.0000  -1.0000     155
  0.0000   0.0000     187
  0.0000   1.0000     211
  0.0000   2.0000     235
  0.0000   3.0000     261
  0.0000   4.0000     278
  0.0000   5.0000     301
  0.0000   6.0000     324
  0.0000   7.0000     349
  0.0000   8.0000     395
  0.0000   9.0000     426
  0.0000  10.0000     461
  0.0000  11.0000     514
  0.0000  12.0000     551
  0.0000  13.0000     596
  1.0000 -16.0000     643
  1.0000 -15.0000     643
  1.0000 -14.0000     561
  1.0000 -13.0000     464
  1.0000 -12.0000     388
  1.0000 -11.0000     363
  1.0000 -10.0000     330
  1.0000  -9.0000     287
  1.0000  -8.0000     257
  1.0000  -7.0000     246
  1.0000  -6.0000     236
  1.0000  -5.0000     227
  1.0000  -4.0000     223
  1.0000  -3.0000     220
  1.0000  -2.0000     221
  1.0000  -1.0000     226
  1.0000   0.0000     234
  1.0000   1.0000     252
  1.0000   2.0000     266
  1.0000   3.0000     281
  1.0000   4.0000     299
  1.0000   5.0000     320
  1.0000   6.0000     340
  1.0000   7.0000     381
  1.0000   8.0000     406
  1.0000   9.0000     441
  1.0000  10.0000     490
  1.0000  11.0000     524
  1.0000  12.0000     563
  2.0000 -15.0000     643
  2.0000 -14.0000     561
  2.0000 -13.0000     477
  2.0000 -12.0000     429
  2.0000 -11.0000     383
  2.0000 -10.0000     358
  2.0000  -9.0000     331
  2.0000  -8.0000     292
  2.0000  -7.0000     275
  2.0000  -6.0000     260
  2.0000  -5.0000     254
  2.0000  -4.0000     251
