# v        v_err    sigma    sigma_err
  15.898    1.462  138.316    1.928
  37.689   79.542  150.137   99.616
  45.460  147.807  104.304  217.301
  15.023   15.109  133.386   20.666
  16.691    7.471  134.619    9.982
  36.514   68.390  145.436   85.031
  22.751   38.885  133.614   51.489
  30.987  118.142  116.072  166.219
  33.459  105.918  131.641  138.990
 -12.912   78.158  134.000  106.483
  24.136  121.460  146.470  153.979
  31.032  130.345  114.635  180.586
  -2.526  155.280  110.029  227.109
  -1.775  347.542  133.944  487.133
  -4.618  144.385  120.414  194.507
  30.422   62.717  143.058   81.557
  21.829    4.505  145.316    5.933
  26.392  106.977  148.511  132.454
  18.953    1.945  141.331    2.537
  19.708   27.761  133.347   37.132
  14.434   14.199  137.848   19.052
  35.958  104.575  149.687  129.893
  22.431   49.224  139.074   64.183
  22.874    3.574  145.887    4.593
  22.040    7.236  138.185    9.880
  13.892  116.454  148.476  146.399
  27.876   99.439  144.803  126.598
   1.258    9.425  132.451   12.358
  24.651    6.540  148.474    8.492
  14.886   25.562  141.238   33.872
  19.044    1.907  134.858    2.621
  16.631    2.146  132.302    2.996
  15.582   47.304  138.985   61.596
  21.852    2.143  138.188    2.930
  14.764    3.303  131.278    4.478
  19.923   14.764  134.760   20.063
  -2.891   23.233  132.555   30.466
  24.768    2.676  144.739    3.547
  10.579    4.224  130.195    5.721
  21.858   73.320  137.137   96.605
  25.866  144.972  139.462  184.514
  24.892    6.977  142.124    9.328
   1.729   17.274  135.145   22.451
  27.594    4.599  154.491    5.859
   6.732    7.465  131.469    9.757
  14.581   45.492  139.987   59.307
  15.646   29.470  142.564   38.245
  19.282  126.545  139.248  159.344
  11.990   80.193  130.467  105.079
  28.001  128.997  118.381  175.955
   0.290  114.467  141.518  145.642
 -30.667   67.850  149.026   87.217
 -28.213   68.612  158.610   84.623
 -22.226   75.163  133.480   98.102
   8.714  164.553  138.020  206.341
 -12.152  111.175  136.302  141.932
 -23.101   63.940  158.513   79.385
 -20.254   72.302  147.546   89.113
  11.140  116.622  129.551  155.841
  -9.204  257.699  121.947  342.909
  23.554   14.071  147.632   18.457
  29.162    6.928  154.617    8.809
   5.468  192.081  140.694  248.415
   9.141   80.940  138.231  107.501
  16.668   43.038  142.725   55.563
   6.276  101.258  127.303  134.719
  27.627    8.674  151.676   11.064
  18.085   26.658  147.966   34.774
   6.663  185.539  122.049  254.724
  29.680    4.633  143.356    5.998
  26.941    3.903  137.902    5.115
  30.672    4.383  151.116    5.520
  21.034    3.272  134.980    4.475
  30.701    5.342  158.531    6.705
  22.181   16.434  154.361   20.994
  14.005   64.450  140.447   82.108
  15.280    4.276  133.366    5.718
   2.457   88.151  128.797  118.558
   3.949   14.592  132.591   19.101
  22.179   49.936  151.714   63.131
  29.932    7.013  163.340    8.652
   8.845  158.950  125.838  215.033
  10.470    6.607  133.207    8.848
  -2.645   35.089  138.773   46.010
  21.521   25.280  149.151   32.639
   2.040   37.042  138.309   47.045
  -6.253   57.865  148.668   72.931
  29.177   11.698  164.399   14.358
   8.103  196.426  103.688  331.280
   6.854   87.979  134.759  115.777
  19.048   79.903  148.044  102.138
   3.603  119.763  129.618  158.863
  25.738   22.558  160.930   28.181
  32.523    4.973  147.771    6.335
  33.134    5.745  157.234    7.276
  29.338    5.042  143.665    6.475
   6.731   13.867  134.969   18.029
  24.756   45.316  151.521   55.667
  31.221    8.247  167.733   10.048
   2.735   21.811  132.937   29.141
  22.559    5.532  137.055    7.104
  48.503  304.284  168.997  353.061
  29.373   11.060  173.502   13.261
  14.849    8.358  136.611   10.830
  25.896   25.358  153.717   32.054
  -5.315   69.670  146.701   89.569
   9.880   79.724  142.468  101.877
  -0.126  118.373  136.300  151.131
  21.647   71.492  151.599   90.390
  21.945  248.121  168.808  279.864
  27.775   14.225  177.411   16.874
  28.496   34.557  148.624   43.137
  27.288   19.494  170.279   23.591
   9.193  147.919  145.022  181.596
  13.526   67.452  143.106   86.741
   8.970   13.217  141.473   17.194
   5.169   21.999  139.306   28.392
  36.584    7.441  161.513    9.329
  29.171   24.383  164.620   29.707
  34.481    7.354  153.496    9.220
  34.905   10.299  174.693   12.308
  23.975   49.513  146.979   64.845
  31.551    7.875  146.195   10.002
  31.833   12.588  183.108   14.823
  29.644   16.233  185.480   18.915
   3.423   87.604  136.495  112.995
  30.783   38.373  152.555   47.866
  25.188    8.238  142.330   10.544
  17.864  285.275  123.314  389.055
   5.717   18.491  144.052   23.915
  13.956   63.533  141.874   81.052
  27.751   22.916  181.597   26.833
   2.290   37.155  135.843   49.150
   1.001   41.927  134.337   55.258
  17.283   12.391  144.344   15.788
   2.338   29.218  143.846   36.604
  -3.605   56.717  137.150   71.606
  -0.487   69.963  146.623   89.348
  23.083   54.565  142.811   68.305
  30.623   26.012  177.230   30.567
  12.626  115.007  135.572  148.038
  39.255   10.932  165.067   13.460
  36.998   12.112  178.037   14.392
   6.223   95.678  132.162  123.460
  38.001   13.152  151.704   16.374
   8.784   16.622  144.863   21.255
  34.921   14.510  187.795   16.785
   3.973   27.112  147.656   33.577
  30.560   39.770  169.160   47.276
  34.543   14.607  144.624   18.945
  31.697   19.514  192.432   22.344
  11.779   60.552  140.502   76.631
  27.981   26.675  192.328   29.823
  28.291   13.459  143.299   17.613
  20.772   59.542  155.479   73.982
   5.122   29.903  149.890   35.259
  -6.091   80.103  143.502  100.081
   2.426   48.878  138.933   63.294
   2.697   44.086  129.550   60.352
  15.030  273.407  160.158  336.812
  19.116   17.038  144.057   22.107
  29.892   28.427  189.828   32.309
  -1.040   73.479  143.065   95.224
   0.885   45.441  153.090   55.229
   1.436   50.554  130.072   67.402
   8.160   87.966  137.005  111.111
  38.922   19.420  180.642   22.402
  38.406   15.711  170.857   18.793
  27.276   42.348  187.761   46.762
  35.705   19.842  189.446   22.479
  13.197   67.773  152.153   81.164
  36.256   14.242  151.670   17.969
  10.832   23.725  145.998   29.889
   2.722   50.320  165.706   59.661
  32.969   21.549  193.748   23.666
  32.864   15.706  144.497   20.387
  17.047   99.804  129.377  131.005
  30.481   23.701  194.737   25.485
  19.875   59.483  179.016   67.928
  10.090   90.703  139.922  112.994
  26.036   20.652  144.358   26.873
  32.715   30.649  193.433   32.555
  14.250   77.730  167.166   90.553
   3.895   43.414  156.126   52.139
  32.318   55.450  188.962   58.631
  18.561  252.477  136.471  335.718
  18.397   29.696  144.683   38.501
  -6.750   74.931  134.333   99.161
   3.845   70.542  148.100   88.400
   5.820   55.343  128.551   74.012
  37.646   27.056  182.873   31.599
  16.798  101.785  129.756  132.662
  35.416   24.606  187.410   27.277
  36.720   21.153  170.536   25.497
   0.988   61.346  170.577   68.829
  33.964   26.830  187.919   29.406
  31.876   21.163  154.402   26.586
  -3.165   94.094  132.021  126.099
   8.504   61.328  124.858   82.758
  18.116   71.142  181.105   80.890
  12.931   38.322  146.864   47.034
  32.509   30.394  188.215   33.551
  27.755   24.633  143.455   32.195
  10.589  104.689  149.836  123.793
   3.172   70.167  170.345   78.779
  33.105   36.687  191.412   39.506
  22.672   26.531  145.339   33.679
   2.490   70.367  127.329   94.119
  -2.852   89.051  137.825  113.890
  -7.709   75.925  125.238  104.970
  -8.939   82.995  136.078  107.374
   0.624   96.383  127.969  127.863
 -11.530   91.053  136.748  117.403
   8.196   45.999  147.529   56.445
  13.230   72.257  130.006   95.096
   9.410   71.132  156.387   82.954
  -5.015   73.091  112.902  103.680
 -16.801   68.660  131.061   91.680
  17.017   72.551  118.858   98.917
  10.178   73.172  169.557   81.807
  18.984   36.267  146.893   44.670
   0.981   73.106  164.973   82.964
  34.375   61.758  188.252   65.488
  -4.959   87.796  121.376  123.255
  -3.917   72.644  116.795  106.907
  33.334   33.668  184.335   37.953
  17.143   78.706  118.415  108.493
  29.023   30.144  173.783   35.015
  34.104   32.011  186.128   35.367
  15.574   98.954  131.837  129.016
  24.846   32.128  157.959   39.260
  36.283   36.534  184.194   40.633
  13.275   42.209  145.306   52.397
   7.366   60.565  154.516   74.135
 -24.577   63.793  129.146   84.251
  19.460   36.979  147.104   46.604
   2.723   86.671  110.488  126.836
  21.377   64.920  178.964   70.705
  40.180   42.877  182.887   47.191
  21.135   75.477  129.917   99.016
  10.287   84.992  151.745  102.589
  25.965   72.799  109.689  104.448
  15.162  102.964  121.954  141.207
   4.729   94.985  161.886  107.545
  17.573   39.871  148.143   48.638
  12.491   57.017  141.003   71.311
   7.070   96.686  118.958  135.684
  32.437   86.997  111.485  120.985
  38.981   43.371  184.936   48.644
   3.835   82.275  157.657   96.197
  17.369   54.061  150.398   65.365
 -28.580   67.717  125.413   91.186
  15.645   71.120  166.912   80.477
  16.100  122.897  113.621  173.913
  35.342   54.741  181.943   61.465
  19.473  124.898  135.060  164.421
  27.915   47.762  178.168   53.751
  20.547   43.379  165.102   51.487
  34.749   41.432  182.714   45.306
   8.451   75.357  133.869   99.043
  15.318   41.381  156.227   50.964
  14.089   56.606  149.760   69.979
  42.543   38.892  181.258   43.327
  26.362   61.032  173.808   69.205
  13.134   43.522  150.943   53.099
  10.155   80.805  145.935  101.506
  42.929   41.153  184.300   45.967
  22.929   93.863  140.913  121.576
  40.976   97.425  114.895  140.402
  13.185  139.458  126.431  185.143
   3.169  114.316  155.501  134.966
  11.591   55.142  154.473   65.845
  -2.537  110.144  113.326  153.924
  -6.037  141.658  129.913  193.133
  47.565   92.174  107.070  138.419
  11.691  121.295   90.942  192.176
  10.583   61.385  137.854   78.580
  -9.574  149.252  141.124  183.883
  43.176   50.047  180.970   56.628
   5.177   83.250  141.116  103.891
  -2.397  118.236  143.384  147.595
  12.410   77.377  154.781   92.496
  24.645  177.728  119.311  248.261
  55.994  159.005  126.288  213.201
  20.325   73.753  162.050   89.471
  -1.814  145.718  145.354  174.608
   6.050   76.617  132.057   99.301
  37.594   65.915  177.824   77.149
 -26.753   66.538  129.782   88.900
  14.883  103.709  135.229  133.122
  31.292  168.678  104.574  244.714
   7.897   85.119  148.702  104.346
  31.703  166.175  110.167  245.092
  15.412   51.202  153.354   63.386
  24.822   52.372  164.579   62.706
  11.403   59.275  149.114   74.807
  38.383   51.791  176.837   57.955
   5.706   92.052  137.172  117.518
  16.297  119.237  140.974  155.591
   4.877   71.925  154.407   88.224
  47.048   60.850  178.321   66.197
  24.226  179.381   89.667  282.363
 -17.063   86.995  154.086  106.093
 -10.001  133.911  141.113  164.662
   5.112   79.406  138.782  101.395
   1.678   91.143  129.137  118.232
   6.360   71.022  154.969   84.260
  45.251   62.515  179.974   70.830
  29.130   63.297  172.076   75.545
  14.995   99.350  145.489  128.659
  39.770  250.105  112.765  321.604
  22.348  131.838  120.100  180.200
   4.945  197.320   89.799  329.607
   6.060   85.538  156.273  102.094
   6.639  100.625  129.994  131.647
  -0.742   81.664  132.033  106.542
 -18.687   77.483  136.167  102.545
 -15.220   99.547  133.346  130.491
  25.469  223.727  124.912  298.848
   0.553  122.878  133.410  158.925
  38.532   58.912  181.287   65.343
   2.211   97.107  147.700  119.863
 -14.479   77.302  155.938   96.964
 -20.439   72.840  155.723   90.248
 -11.253   84.053  149.462  104.560
 -21.787   87.759  149.346  111.798
 -18.757  119.578  125.846  165.072
  11.980   53.895  141.423   67.549
 -10.986   93.653  126.938  126.559
  10.686  166.257  106.995  251.015
   5.112   69.709  141.711   86.951
  21.059   55.118  146.225   67.306
   7.196  153.838  109.477  223.448
  -2.939  114.595  139.440  146.768
  -3.334   83.916  151.229  104.581
  23.268   64.952  163.476   75.546
  36.190   59.188  162.485   69.952
  29.007   66.476  174.926   74.998
  18.410  155.760  137.573  201.991
  42.509   77.036  173.463   88.770
  -1.023   82.426  153.808  100.422
  -3.538  107.026  120.832  150.185
  36.101   80.002  178.931   93.420
   1.052   97.307  151.104  117.710
  22.861   66.275  170.886   78.000
 -10.812  130.046  141.111  162.868
  19.730   93.688  153.437  116.536
 -12.631  124.205  127.683  167.253
  26.738   67.876  176.912   75.903
   4.640  106.104  144.447  132.334
  22.469   86.735  166.907  100.396
  18.995   71.540  172.890   81.357
   6.119   64.752  131.326   83.477
  15.715   63.726  137.287   80.888
  20.723  150.312  154.139  185.659
  -2.175   72.073  137.383   91.184
  22.699   67.760  149.816   85.991
  -9.390   81.319  145.694  104.454
  -0.598  122.978  142.320  155.683
  27.362   72.598  168.190   86.023
  -2.482  159.797  110.074  244.265
  -7.204   88.857  149.263  109.780
 -20.302  100.576  140.894  126.450
   1.903  113.932  150.044  137.970
  19.432   80.289  178.139   94.497
  17.102   73.047  164.369   85.897
  17.144  124.739  164.894  143.528
   3.059  164.894  121.802  224.237
   3.380  123.116  144.550  152.412
 -22.189  116.526  115.088  171.697
 -19.479  127.581  123.828  183.603
  14.411   83.806  170.972   99.910
   3.728  152.478  147.426  185.189
  -1.035   65.856  137.640   86.664
 -10.378   89.760  141.895  115.177
   3.476   70.877  139.780   91.595
 -14.724  106.259  145.328  132.041
  12.492   78.047  156.352   95.972
  -9.141   84.920  142.516  109.369
  18.972  109.098  161.739  129.583
  -3.619  170.560  150.342  205.147
  10.716   85.670  162.230  104.382
   8.772  221.770  114.096  330.336
  16.336  236.029  151.969  295.280
   1.857   98.496  152.418  119.464
  11.129   98.956  170.600  117.703
  16.979  152.491  165.842  173.585
   5.411  116.295  149.793  141.402
   6.470  102.069  176.039  118.393
  11.107   77.464  149.241   96.201
  18.556  141.724  164.052  163.327
  14.174  158.344  148.549  190.366
   5.584   86.243  169.840  100.532
  -6.431  100.506  148.435  121.993
 -20.356   88.670  137.152  112.927
  -6.277   85.711  151.054  109.314
 -16.501   92.535  137.088  117.989
 -12.694   88.200  137.485  118.265
  -1.827   98.918  146.499  126.730
 -13.054  104.719  137.886  132.450
   0.422  106.601  150.667  133.785
  -2.793  131.370  109.360  197.587
  -6.877   96.165  141.611  120.519
   3.057  102.345  159.550  125.569
   0.857  127.524  137.333  160.007
  14.419   93.252  149.909  112.821
   6.402   84.760  152.097  104.558
   2.074  114.140  166.317  133.201
   8.178  148.490  143.277  188.740
  15.318  132.532  164.985  150.791
   5.206  103.596  165.953  125.210
 -31.442  165.108  122.177  222.352
 -12.014   95.508  152.141  113.755
  -7.358  151.242  136.603  187.613
 -15.850  106.770  139.932  133.803
 -33.557  112.491  125.622  149.030
   4.205  117.448  144.868  152.466
 -13.685   93.281  146.492  114.775
 -13.693  101.610  108.258  150.766
 -14.397   92.741  124.279  128.094
  -9.086   98.464  123.783  137.667
  -3.338  158.029  145.540  202.342
  11.874   80.477  141.668  105.419
  -3.811  127.174  121.309  178.611
   1.948  188.122  157.264  234.220
   7.414  102.806  165.809  121.673
  16.571  108.365  152.284  129.318
   1.971  132.036  157.033  165.880
  -0.467   88.453  144.343  115.766
   8.363  108.805  159.798  134.474
  12.400  105.353  152.003  130.623
  14.977   99.902  136.930  130.334
  16.793  189.813  163.149  215.347
  10.968  222.353  149.501  265.080
  12.558  110.506  162.449  135.692
  18.698  127.979  155.236  151.816
  14.126   96.451  138.240  122.925
 -13.788  119.791  104.962  177.628
   3.586  152.813  144.488  197.699
  13.695  117.473  135.293  150.272
  16.404  143.818  158.685  174.481
  11.315  117.229  132.459  152.652
  19.360  154.070  151.719  187.972
  13.910  150.915  149.921  192.313
  13.096  152.583  143.997  191.948
  11.062  125.775  139.633  159.759
  17.663  149.563  151.145  184.036
 -31.318  134.334  128.934  175.152
 -10.177   89.649  146.599  110.907
   2.300  107.144  143.451  140.513
 -12.175  144.345  143.534  177.690
  11.687  116.685  129.410  154.261
  -6.839  141.289  153.681  172.113
  -0.276   89.554  142.238  113.913
  -7.862  150.290  137.791  190.258
  -3.637  179.026  154.295  216.935
  -7.390  259.839  155.765  315.850
   2.588  107.783  128.540  146.239
  13.292  154.561  135.485  204.468
   7.124  133.937  130.339  182.433
   0.787  126.136  142.351  158.048
  -3.575  103.773  138.248  131.352
  -9.026  162.098  142.270  203.069
   9.079  254.446  140.189  333.999
