# v        v_err    sigma    sigma_err
 -92.130    6.164  108.296    7.092
 -74.633    5.330   90.553    6.083
 -38.335    4.724   92.348    5.596
-151.581    3.662   95.879    4.151
-142.366    3.272   60.592    4.149
-113.045    5.431   98.783    5.940
-132.207    2.626   97.160    3.069
 -57.518    6.976  122.975    7.824
-145.369    3.352   78.781    4.146
 -14.510    4.887  105.114    5.656
 -21.885    5.112  103.452    5.696
  -7.247    3.817  123.502    4.077
 -15.585    4.796  123.381    5.331
 -83.764    7.402  105.932    8.158
 -75.013    7.123  118.919    7.957
-148.518    4.167   85.731    5.063
-152.466    4.002   90.595    4.575
-113.831    5.348   76.311    6.167
 -35.076    5.127  116.502    5.409
 -56.500    5.300   83.354    6.099
 -27.352    4.779   96.945    5.379
 -90.329    6.002   78.329    7.319
 -82.562    6.275  102.961    7.145
-129.535    4.283   77.748    5.237
 -54.051    5.830   97.759    6.688
-115.519    4.406   74.273    5.453
-123.723    4.835   93.362    5.801
 -59.585    6.006  108.624    6.595
 -48.567    5.139   85.648    5.785
-110.014    6.447  101.314    7.257
 -66.610    5.794   84.358    6.665
-128.395    4.501   68.774    5.636
 -70.584    6.351  100.805    7.336
-130.786    4.667   84.097    5.549
 -38.666    5.923   97.640    6.636
 -78.506    5.336   97.462    5.914
-148.202    4.234   76.334    5.239
 -85.109    7.437   95.052    8.388
 -86.541    5.910   86.033    6.678
-130.555    5.307   90.043    6.098
 -56.273    6.134  103.153    7.048
 -35.379    5.165  111.994    5.897
-149.374    4.948   93.352    5.825
 -32.184    6.186  129.334    6.395
 -91.805    6.020   88.966    7.038
 -72.102    5.741   90.587    6.518
-125.341    5.744   91.176    6.621
 -56.664    5.606   78.059    6.506
-148.451    3.455   76.122    4.049
-150.192    4.177   74.817    5.152
-138.545    2.850   87.014    3.378
-102.738    2.487  119.147    2.532
-110.970    2.699  118.566    2.934
 -94.551    2.239  113.743    2.331
-152.809    3.277   84.398    3.849
-120.098    2.712  113.791    2.993
-158.128    4.191   78.498    5.105
-151.790    4.307  114.566    4.607
-129.524    2.642  103.684    2.962
 -88.786    2.125  127.793    2.174
-127.938    4.117   75.844    4.963
-144.935    3.335   89.695    4.015
-129.891    4.727   78.152    5.649
-121.831    4.665   89.274    5.488
-119.756    4.980   78.137    5.953
-128.559    5.089   80.957    6.087
-147.688    4.793   79.668    5.595
-163.567    3.992   70.758    5.058
 -85.863    6.114   82.215    7.093
-151.387    4.134   71.206    4.947
-131.279    2.748  101.811    3.208
-118.489    5.162   75.245    6.182
-148.655    3.830   82.250    4.477
-147.684    3.762   80.454    4.602
-147.999    5.085   78.140    5.994
 -62.859    1.810  133.687    1.866
 -81.511    2.114  131.583    2.245
 -78.990    5.783   86.114    6.381
 -72.642    5.678   89.381    6.478
-107.844    5.531   84.595    6.537
-146.968    3.587  102.240    4.086
-158.897    3.814   77.416    4.743
-133.029    3.050   74.724    3.568
-109.682    4.878   98.634    5.345
-151.172    4.481   81.006    5.450
-140.075    4.902   80.318    5.973
 -40.009    5.214   85.496    6.063
 -68.729    6.937   89.113    7.958
-136.183    5.429   77.376    6.499
-134.063    4.651   75.057    5.663
-101.377    4.980   86.773    5.904
 -78.563    5.951   95.455    6.807
 -44.850    6.003   95.157    6.918
 -41.801    5.643   94.309    6.487
-131.037    5.007   75.939    5.947
 -90.825    8.622  112.425    9.713
 -84.607    4.618  111.513    5.097
 -42.194    6.263  100.492    7.152
-158.182    4.007   69.347    5.018
-143.747    5.112   72.480    6.275
-156.299    3.612   79.386    4.229
-155.307    4.411  105.232    4.945
-115.856    6.055   89.481    7.153
-157.674    3.600   62.317    4.695
-155.073    4.541   68.271    5.486
-141.204    3.318   82.164    3.956
-146.419    3.883   96.164    4.434
-106.290    2.706  114.782    2.924
-122.405    2.637  112.372    2.893
-102.575    2.448  119.440    2.666
-132.788    2.753  103.174    3.047
-101.284    7.395  116.267    8.367
-160.162    3.879   70.472    4.872
-110.658    5.709   85.802    6.652
-162.542    4.681   87.425    5.549
 -59.574    5.853   83.782    6.986
 -39.099    5.697   87.844    6.588
 -84.324    6.542   98.621    7.448
 -32.124    5.209  105.578    5.920
 -85.232    5.360   91.537    6.094
 -11.063    4.987   99.182    5.543
  -8.463    4.730   86.954    5.697
 -75.758    6.230   89.767    7.090
 -55.997    6.156   95.013    6.922
 -21.018    4.921   90.905    5.826
 -99.661    5.560   94.918    6.452
-112.054    6.222   78.461    7.352
-147.249    5.414   83.959    6.323
-130.389    5.492   85.099    6.310
-138.994    4.785   79.963    5.763
 -80.127    6.556  104.770    7.319
-132.151    5.323   75.373    6.252
 -83.468    6.543  104.389    7.554
-158.423    4.132   70.893    5.138
-157.382    3.979   70.461    4.930
-172.079    4.855   86.964    5.825
-154.505    3.482   98.950    4.013
-148.906    4.740   76.006    5.916
-134.334    3.078  106.424    3.476
-159.936    4.202   84.490    5.034
-152.817    4.470   87.778    5.415
-115.036    6.111   85.590    7.017
 -92.680    2.381  122.142    2.470
-140.943    4.971   78.312    5.896
-143.152    3.190   88.601    3.612
