# v        v_err    sigma    sigma_err
 -42.176    5.150  220.453    5.117
 -39.488    5.936  246.965    5.735
 -33.868    5.191  224.188    5.060
 -65.142    4.959  228.203    4.806
   6.483    4.709  219.260    4.670
 -31.703    5.078  211.774    5.074
 -50.439    5.175  229.203    5.120
 -16.687    5.130  228.797    5.133
   8.049    4.867  224.767    4.897
  19.123    4.775  221.415    4.691
 -34.229    5.100  214.350    5.077
  16.816    5.110  221.798    5.029
 -19.181    5.554  239.297    5.579
  31.410    4.394  222.598    4.350
  18.200    4.844  228.190    4.747
 -39.263    5.193  229.160    5.030
   7.271    4.883  213.484    4.887
 -54.967    5.229  245.701    4.927
 -33.009    5.257  220.173    5.240
  -2.426    4.722  215.624    4.854
  31.477    4.612  228.205    4.521
 -63.140    5.304  249.566    5.049
 -62.925    5.137  229.964    5.004
 -33.493    5.234  220.636    5.169
 -73.809    4.561  233.915    4.450
   6.279    4.866  212.047    4.820
 -65.482    4.751  233.626    4.598
  35.309    4.339  232.609    4.259
  30.017    5.141  246.432    4.925
  52.513    4.027  241.413    3.995
  48.887    4.089  220.702    4.036
 -30.635    5.102  223.584    5.091
 -14.633    5.023  216.174    4.935
 -57.961    4.953  228.918    4.835
 -79.223    5.245  250.055    4.891
 -32.070    5.354  214.705    5.282
  29.213    4.725  211.704    4.711
   6.225    5.037  223.014    5.093
  41.149    4.687  235.969    4.547
 -35.709    4.940  212.967    4.851
 -15.256    5.038  228.864    4.952
 -52.450    5.053  227.625    4.974
   6.214    4.773  215.183    4.718
 -52.721    5.108  228.119    5.047
 -54.999    5.384  225.757    5.297
   9.039    5.275  222.692    5.209
  20.157    4.763  216.976    4.631
 -27.752    5.365  220.483    5.474
  -1.114    4.865  202.802    4.977
 -49.679    4.877  226.787    4.798
  14.687    4.996  209.116    4.908
 -52.303    5.187  227.509    5.080
  15.513    5.051  234.122    4.883
 -19.292    4.982  207.164    5.073
 -60.859    4.811  220.595    4.777
 -30.245    5.055  218.300    5.007
  -7.629    5.215  221.173    5.149
 -39.415    5.079  230.043    5.045
  -3.209    5.182  215.039    5.107
  34.303    4.882  226.560    4.778
 -65.487    4.834  225.377    4.847
  34.693    5.076  240.260    4.838
 -30.298    5.062  205.938    5.010
   2.876    5.098  215.029    5.090
 -37.948    4.785  199.273    4.880
   3.780    5.185  220.361    5.181
 -64.732    5.696  245.672    5.425
 -74.649    5.381  242.256    5.129
 -74.234    4.789  249.641    4.607
 -81.370    3.774  236.683    3.671
 -77.818    3.885  235.606    3.806
 -72.887    3.841  246.618    3.669
 -78.520    5.504  255.408    5.255
 -80.097    4.184  232.614    4.091
 -53.507    5.100  232.326    5.009
 -63.356    5.187  246.157    4.868
 -73.206    4.310  233.695    4.249
 -67.262    3.691  236.373    3.603
 -55.436    4.642  205.854    4.656
 -80.612    4.735  239.309    4.597
 -51.823    5.030  220.461    5.095
 -54.699    5.348  235.353    5.070
 -29.891    5.319  221.405    5.257
 -26.205    5.248  219.849    5.126
 -55.021    4.846  223.221    4.845
 -22.222    5.373  224.722    5.389
 -67.626    5.368  227.077    5.259
 -74.413    5.067  236.201    4.960
 -23.854    4.862  205.870    4.901
 -80.254    5.579  249.857    5.191
 -64.505    4.544  232.495    4.468
 -44.920    4.760  221.328    4.763
 -69.210    5.744  235.521    5.603
 -59.744    5.099  224.654    5.030
 -62.503    4.956  222.418    4.889
 -50.289    3.414  230.715    3.437
 -69.853    3.936  244.836    3.850
 -23.773    5.453  225.598    5.354
  -0.094    5.338  216.000    5.363
 -23.492    5.599  225.498    5.504
 -79.712    4.729  231.491    4.722
 -68.083    5.072  239.532    4.934
 -64.517    4.729  245.897    4.600
 -41.258    5.054  219.182    4.978
 -59.274    5.125  236.404    4.864
 -58.432    5.425  227.387    5.395
  15.369    5.105  218.002    5.106
 -17.910    5.407  208.852    5.544
 -19.159    5.663  235.281    5.455
 -47.470    5.721  236.407    5.599
 -64.054    5.796  228.069    5.738
 -36.086    5.304  229.714    5.108
   6.427    5.276  214.527    5.265
   5.792    5.384  224.142    5.207
  29.223    4.946  223.730    4.904
 -51.759    5.050  213.336    5.022
 -29.729    5.055  221.917    5.055
 -17.561    5.437  217.036    5.396
  19.770    5.616  248.631    5.102
 -65.219    4.931  223.979    4.887
 -68.597    5.157  216.795    5.215
 -82.044    5.103  220.930    5.015
 -74.244    5.567  245.531    5.220
 -49.145    4.883  213.507    5.023
 -68.132    4.841  217.282    4.782
 -69.387    5.300  232.666    5.212
 -65.692    4.556  232.663    4.447
 -79.943    5.007  222.794    4.933
 -73.624    4.193  245.479    3.950
 -63.095    4.602  245.224    4.414
 -73.371    3.967  223.165    3.916
 -76.633    4.560  232.213    4.474
 -24.839    5.771  239.616    5.675
 -75.689    4.922  232.502    4.786
 -37.271    5.423  230.988    5.419
 -67.095    5.521  235.889    5.502
  15.836    5.205  216.002    5.253
  11.857    4.894  212.708    4.781
 -11.156    5.670  222.468    5.580
  32.336    5.334  228.115    5.219
 -19.328    5.417  216.354    5.360
  38.416    4.842  235.122    4.647
 -19.348    5.568  232.296    5.504
  39.953    4.737  225.833    4.638
   0.131    5.378  220.360    5.295
  13.573    4.615  202.538    4.636
  -8.213    5.284  218.606    5.350
  41.996    4.814  226.582    4.750
 -36.343    5.743  228.169    5.693
 -33.686    5.312  223.329    5.327
 -63.932    4.932  204.995    4.965
 -58.389    5.343  219.775    5.229
 -56.839    5.334  214.994    5.275
 -10.379    5.403  213.028    5.514
 -50.564    4.973  221.423    4.909
   2.206    5.545  224.731    5.401
 -67.948    4.946  220.263    4.880
 -80.133    5.119  223.338    5.078
 -59.229    5.382  230.114    5.298
 -89.867    4.608  225.403    4.543
 -57.511    5.029  210.021    5.051
 -89.806    4.819  235.782    4.647
 -73.847    5.072  224.159    4.986
 -84.310    5.437  236.378    5.388
 -42.169    4.938  215.909    4.950
 -67.962    3.876  241.265    3.737
 -54.670    4.977  219.807    4.919
 -76.169    4.566  230.063    4.503
 -36.274    5.639  233.275    5.607
 -70.679    3.844  245.324    3.669
 -69.369    4.936  226.833    4.833
 -79.690    4.978  234.507    4.875
 -44.704    5.026  215.149    5.014
 -15.239    5.168  216.365    5.165
 -11.049    5.818  235.656    5.507
 -67.388    4.817  210.011    4.841
 -33.597    5.425  223.908    5.332
 -79.300    4.647  233.150    4.616
 -48.953    3.724  230.074    3.647
 -78.518    5.093  220.518    5.162
 -25.971    3.420  254.457    3.333
 -69.993    5.307  236.777    5.004
 -65.318    4.988  232.507    4.988
 -46.702    3.411  243.307    3.363
  -7.079    3.052  238.644    3.004
 -54.346    5.209  211.326    5.142
 -41.738    5.285  218.271    5.230
 -72.712    4.896  211.133    4.922
 -55.858    5.553  231.026    5.365
 -54.529    6.011  233.182    5.834
 -25.582    5.134  211.397    5.170
 -76.975    5.546  233.083    5.388
  -3.776    5.655  214.183    5.609
 -13.032    5.726  228.305    5.382
   5.460    5.311  218.459    5.196
  24.441    5.051  206.900    5.088
 -48.342    5.168  224.211    5.026
  13.860    5.005  210.171    5.025
 -57.783    5.768  229.258    5.645
  29.034    4.858  220.054    4.762
  14.671    4.804  199.287    4.899
  39.415    4.550  216.494    4.537
  19.025    5.083  217.830    5.017
 -34.026    5.037  224.112    4.901
  -1.056    5.385  209.266    5.483
 -32.172    5.570  226.985    5.480
 -11.256    5.424  207.117    5.474
 -21.691    4.920  208.799    4.918
  -9.069    5.538  212.382    5.574
 -57.884    5.013  208.533    4.972
 -90.377    5.174  234.357    5.087
 -80.293    4.637  222.304    4.560
 -34.458    5.152  206.083    5.185
 -16.489    5.383  207.417    5.416
 -40.110    5.171  216.739    5.125
  15.450    4.829  208.616    4.744
 -10.224    5.175  206.893    5.173
  45.497    4.445  233.631    4.349
  55.536    4.342  236.980    4.304
 -64.995    4.558  201.546    4.632
  29.500    5.220  221.621    5.102
 -62.314    5.064  215.382    5.002
 -84.693    4.414  229.092    4.311
 -80.477    4.721  244.309    4.556
 -85.561    5.061  214.120    4.985
 -78.900    4.277  232.318    4.166
 -79.736    4.772  233.447    4.668
 -58.929    5.399  234.149    5.336
 -65.914    3.922  245.560    3.829
 -73.491    5.178  220.989    5.051
 -76.870    5.260  227.311    5.152
 -78.657    3.934  217.716    3.911
 -75.491    4.548  222.879    4.452
 -49.810    3.726  236.694    3.652
  54.385    3.433  243.033    3.353
